File,Folder,Points,Features
m-028-03.pts,m-028,"[(332.462, 255.506), (453.308, 259.134), (337.754, 405.325), (446.321, 408.012), (278.198, 236.767), (372.873, 240.685), (415.464, 241.07), (511.58, 242.954), (256.597, 255.372), (297.981, 258.597), (360.865, 256.985), (423.748, 262.359), (487.169, 263.434), (528.553, 261.822), (394.187, 337.067), (376.988, 349.428), (414.073, 349.428), (393.112, 393.5), (392.575, 432.735), (394.725, 504.755), (273.795, 403.712), (510.817, 409.624)]","{'Eye length ratio': 0.35339332933737655, 'Eye distance ratio': 0.5073865530799101, 'Nose ratio': 0.15641362092362368, 'Lip size ratio': 2.7676838448385856, 'Lip length ratio': 0.4580438918514849, 'Eye-brow length ratio': 0.35339332933737655, 'Aggressive ratio': 1.054734074650786}"
m-028-05.pts,m-028,"[(333.873, 232.405), (448.709, 237.873), (335.696, 370.937), (439.595, 376.405), (281.013, 217.823), (369.418, 210.532), (409.519, 212.354), (502.481, 224.203), (257.316, 243.342), (308.354, 236.962), (361.215, 236.051), (420.456, 239.696), (477.873, 244.253), (525.266, 256.101), (394.937, 308.051), (376.709, 317.165), (411.342, 318.076), (393.114, 356.354), (392.203, 394.633), (392.203, 470.278), (270.076, 370.025), (507.038, 378.228)]","{'Eye length ratio': 0.3493488922326336, 'Eye distance ratio': 0.48778014898477046, 'Nose ratio': 0.14611726607909012, 'Lip size ratio': 2.717242709136582, 'Lip length ratio': 0.4388066486036385, 'Eye-brow length ratio': 0.3493488922326336, 'Aggressive ratio': 0.9964741550999591}"
m-029-01.pts,m-029,"[(329.411, 266.01), (458.81, 260.985), (338.205, 401.063), (451.272, 396.666), (273.505, 236.487), (363.331, 245.909), (425.518, 240.256), (514.716, 224.552), (249.635, 272.292), (302.4, 271.035), (360.19, 269.779), (431.8, 267.894), (488.333, 264.126), (529.163, 260.985), (395.995, 343.273), (374.638, 351.439), (414.407, 351.897), (395.386, 395.666), (395.995, 423.676), (397.879, 478.954), (274.762, 404.204), (512.203, 396.038)]","{'Eye length ratio': 0.3237452072950669, 'Eye distance ratio': 0.5431638955138222, 'Nose ratio': 0.16740216435752664, 'Lip size ratio': 4.03876217215132, 'Lip length ratio': 0.47626823295705256, 'Eye-brow length ratio': 0.3237452072950669, 'Aggressive ratio': 0.8946124881983234}"
m-029-02.pts,m-029,"[(341.454, 266.955), (471.144, 262.772), (347.031, 387.69), (476.056, 386.694), (282.884, 240.285), (374.399, 243.946), (434.015, 239.762), (527.622, 228.258), (262.49, 268.524), (315.307, 268.524), (373.932, 270.123), (445.52, 268.001), (501.961, 262.65), (546.448, 262.772), (403.161, 340.167), (380.675, 349.057), (428.785, 349.057), (409.437, 385.141), (408.914, 424.884), (409.959, 487.637), (281.316, 388.278), (536.512, 382.003)]","{'Eye length ratio': 0.3320628750389135, 'Eye distance ratio': 0.5365633493078831, 'Nose ratio': 0.18846479784425166, 'Lip size ratio': 3.2462993097355706, 'Lip length ratio': 0.5054540644810438, 'Eye-brow length ratio': 0.3320628750389135, 'Aggressive ratio': 0.8636921441220957}"
m-029-03.pts,m-029,"[(325.285, 279.743), (455.497, 274.734), (334.189, 415.518), (449.376, 412.736), (262.962, 257.484), (359.229, 264.162), (409.311, 259.154), (513.925, 240.234), (249.051, 280.299), (295.793, 281.968), (356.447, 285.864), (426.561, 281.412), (484.432, 274.734), (528.393, 268.613), (384.826, 355.421), (368.133, 367.106), (403.746, 365.437), (389.835, 406.615), (392.06, 437.777), (393.73, 490.64), (273.535, 413.849), (511.699, 409.954)]","{'Eye length ratio': 0.3802443621047773, 'Eye distance ratio': 0.5398452611615948, 'Nose ratio': 0.14967551971093995, 'Lip size ratio': 3.6880818009991305, 'Lip length ratio': 0.48372207840542203, 'Eye-brow length ratio': 0.3802443621047773, 'Aggressive ratio': 0.8738285677601997}"
m-029-05.pts,m-029,"[(328.405, 275.241), (458.734, 268.861), (337.519, 405.57), (447.797, 405.57), (269.165, 254.278), (362.127, 257.924), (419.544, 253.367), (512.506, 241.519), (251.848, 280.709), (300.152, 278.886), (355.747, 279.797), (431.392, 277.975), (485.165, 270.684), (529.823, 274.329), (389.468, 353.62), (370.329, 357.266), (413.165, 360.0), (390.38, 399.19), (388.557, 430.177), (388.557, 481.215), (277.367, 411.038), (505.215, 411.949)]","{'Eye length ratio': 0.33704217426166827, 'Eye distance ratio': 0.5417335214420909, 'Nose ratio': 0.18838355732717643, 'Lip size ratio': 3.5527044347313534, 'Lip length ratio': 0.4839942353907615, 'Eye-brow length ratio': 0.33704217426166827, 'Aggressive ratio': 0.8956460741167602}"
m-030-01.pts,m-030,"[(346.999, 261.613), (465.092, 257.216), (362.703, 399.807), (465.092, 399.807), (292.978, 249.05), (381.548, 235.231), (427.403, 232.09), (516.6, 231.462), (271.621, 269.151), (321.873, 267.266), (375.266, 264.126), (439.966, 262.241), (498.384, 260.985), (531.048, 259.1), (414.211, 329.453), (393.482, 339.504), (429.915, 339.504), (414.84, 389.128), (414.84, 415.51), (414.84, 492.773), (286.696, 404.832), (520.997, 396.666)]","{'Eye length ratio': 0.3452777105625831, 'Eye distance ratio': 0.5205134352283982, 'Nose ratio': 0.15540220691695114, 'Lip size ratio': 3.881017360321431, 'Lip length ratio': 0.43673253819393726, 'Eye-brow length ratio': 0.3452777105625831, 'Aggressive ratio': 0.9897765617804926}"
m-030-02.pts,m-030,"[(336.741, 258.03), (455.471, 247.329), (343.365, 378.289), (476.873, 365.04), (282.217, 243.762), (372.411, 225.927), (414.196, 223.38), (502.351, 211.15), (258.777, 266.183), (307.186, 264.655), (363.239, 258.03), (428.973, 254.973), (483.497, 246.82), (520.696, 241.724), (407.062, 316.121), (385.66, 330.899), (426.425, 326.313), (411.138, 370.645), (415.215, 409.882), (422.349, 488.356), (276.612, 383.385), (522.734, 355.358)]","{'Eye length ratio': 0.34950560977540984, 'Eye distance ratio': 0.5022993171700325, 'Nose ratio': 0.16560377406329338, 'Lip size ratio': 3.4010077108908403, 'Lip length ratio': 0.541610588153248, 'Eye-brow length ratio': 0.34950560977540984, 'Aggressive ratio': 0.959942725129661}"
m-030-03.pts,m-030,"[(355.844, 294.588), (476.422, 281.075), (375.074, 434.396), (485.777, 422.442), (301.272, 285.233), (394.824, 274.318), (436.402, 266.003), (521.119, 248.332), (273.206, 302.904), (323.101, 302.904), (385.469, 296.147), (448.356, 291.47), (508.126, 281.075), (533.593, 271.2), (428.606, 363.712), (411.975, 376.706), (447.317, 373.068), (433.284, 426.08), (435.363, 444.271), (440.56, 517.553), (301.792, 438.034), (527.356, 419.324)]","{'Eye length ratio': 0.3590659634924463, 'Eye distance ratio': 0.5057116854317837, 'Nose ratio': 0.1569716432807393, 'Lip size ratio': 6.081381312709468, 'Lip length ratio': 0.49194666523167346, 'Eye-brow length ratio': 0.3590659634924463, 'Aggressive ratio': 1.0080339595853913}"
m-030-05.pts,m-030,"[(340.253, 258.835), (459.646, 253.367), (352.101, 394.633), (456.911, 392.81), (290.127, 246.987), (375.797, 231.494), (417.722, 230.582), (507.949, 236.051), (272.81, 272.506), (311.089, 267.038), (366.684, 261.57), (431.392, 259.747), (486.987, 256.101), (527.089, 261.57), (397.671, 322.633), (383.089, 335.392), (420.456, 333.57), (403.139, 381.873), (403.139, 409.215), (403.139, 484.861), (287.392, 397.367), (508.861, 391.899)]","{'Eye length ratio': 0.3551575775114668, 'Eye distance ratio': 0.5108108295935043, 'Nose ratio': 0.168872375846909, 'Lip size ratio': 3.8338765586130514, 'Lip length ratio': 0.4731764606475214, 'Eye-brow length ratio': 0.3551575775114668, 'Aggressive ratio': 1.0212642256444568}"
m-031-01.pts,m-031,"[(330.35, 260.157), (455.041, 261.613), (345.115, 407.344), (446.875, 406.088), (279.159, 235.859), (367.1, 240.884), (412.327, 237.115), (507.806, 233.974), (254.661, 260.985), (302.4, 261.613), (357.05, 264.126), (430.543, 263.497), (487.077, 259.728), (535.445, 258.472), (390.97, 344.529), (372.125, 353.323), (407.93, 352.067), (394.739, 400.435), (394.111, 428.073), (396.623, 500.939), (272.877, 405.46), (520.369, 400.435)]","{'Eye length ratio': 0.3402146325157219, 'Eye distance ratio': 0.4877795482320803, 'Nose ratio': 0.14473049794802753, 'Lip size ratio': 3.6812175102505704, 'Lip length ratio': 0.41111139387498796, 'Eye-brow length ratio': 0.3402146325157219, 'Aggressive ratio': 0.9699190842478979}"
m-031-02.pts,m-031,"[(315.027, 271.207), (442.278, 273.815), (315.849, 404.277), (438.655, 411.411), (259.224, 244.61), (348.404, 249.825), (398.992, 252.954), (498.081, 243.567), (238.363, 270.164), (283.746, 272.298), (341.327, 275.356), (416.724, 276.944), (469.229, 271.279), (523.635, 271.207), (372.916, 356.215), (351.012, 366.124), (394.82, 365.081), (375.523, 410.975), (375.002, 451.132), (379.174, 522.059), (252.445, 404.195), (507.99, 410.453)]","{'Eye length ratio': 0.3489019990083119, 'Eye distance ratio': 0.5073238559785703, 'Nose ratio': 0.17142687443365445, 'Lip size ratio': 3.063044710020217, 'Lip length ratio': 0.4812309739129992, 'Eye-brow length ratio': 0.3489019990083119, 'Aggressive ratio': 0.9764009769000899}"
m-031-03.pts,m-031,"[(320.093, 297.2), (443.255, 292.897), (339.993, 440.799), (435.188, 436.496), (267.387, 275.149), (358.817, 289.133), (395.927, 286.444), (495.424, 264.931), (251.79, 294.511), (288.9, 298.276), (344.833, 301.503), (417.977, 299.889), (474.449, 290.746), (522.315, 284.83), (377.641, 389.168), (362.581, 401.0), (400.767, 399.386), (386.246, 441.337), (389.473, 463.925), (392.162, 508.027), (279.757, 438.11), (505.105, 435.421)]","{'Eye length ratio': 0.3760504951814589, 'Eye distance ratio': 0.49032648649782845, 'Nose ratio': 0.1695926892225238, 'Lip size ratio': 4.176305293331964, 'Lip length ratio': 0.42283676294717654, 'Eye-brow length ratio': 0.3760504951814589, 'Aggressive ratio': 0.940157909593915}"
m-031-05.pts,m-031,"[(356.658, 279.797), (478.785, 288.0), (362.127, 425.62), (456.0, 429.266), (305.62, 264.304), (403.139, 262.481), (442.329, 267.038), (525.266, 269.772), (278.278, 287.089), (327.494, 282.532), (383.089, 286.177), (455.089, 292.557), (503.392, 289.823), (542.582, 294.38), (413.165, 367.291), (396.759, 373.671), (430.481, 373.671), (413.165, 414.684), (408.608, 446.582), (408.608, 508.557), (289.215, 424.709), (517.975, 432.911)]","{'Eye length ratio': 0.3688894157509058, 'Eye distance ratio': 0.4898366391930887, 'Nose ratio': 0.14731747550741325, 'Lip size ratio': 2.915528787324576, 'Lip length ratio': 0.4104015251271667, 'Eye-brow length ratio': 0.3688894157509058, 'Aggressive ratio': 0.9778618573764177}"
m-032-01.pts,m-032,"[(323.757, 250.306), (434.94, 250.934), (331.529, 363.782), (433.679, 366.052), (280.454, 236.095), (358.769, 224.177), (406.439, 227.015), (482.484, 237.797), (251.511, 252.552), (299.26, 250.306), (351.396, 250.306), (411.699, 251.563), (460.067, 251.563), (497.239, 250.85), (384.874, 305.897), (366.018, 314.291), (400.764, 316.112), (382.002, 354.644), (382.036, 374.565), (380.334, 447.772), (260.591, 364.917), (490.429, 363.215)]","{'Eye length ratio': 0.3223676253800961, 'Eye distance ratio': 0.5081538915690026, 'Nose ratio': 0.15137936997202758, 'Lip size ratio': 5.129013116457064, 'Lip length ratio': 0.44454101463542617, 'Eye-brow length ratio': 0.3223676253800961, 'Aggressive ratio': 0.8683057168416837}"
m-032-02.pts,m-032,"[(297.326, 237.542), (409.173, 236.49), (295.731, 344.22), (410.465, 345.263), (258.321, 214.46), (329.197, 209.671), (378.815, 213.612), (452.689, 212.805), (231.981, 242.236), (274.124, 240.321), (322.85, 238.352), (384.389, 237.83), (434.977, 238.352), (476.219, 239.363), (357.452, 292.521), (336.86, 300.662), (373.735, 301.141), (355.537, 332.748), (355.537, 374.891), (356.495, 442.416), (239.644, 344.721), (472.867, 343.284)]","{'Eye length ratio': 0.3024643868854553, 'Eye distance ratio': 0.49947147803933567, 'Nose ratio': 0.15812081542008136, 'Lip size ratio': 2.722604955647888, 'Lip length ratio': 0.4919607531977545, 'Eye-brow length ratio': 0.3024643868854553, 'Aggressive ratio': 0.886769668545153}"
m-032-03.pts,m-032,"[(325.604, 257.551), (440.567, 263.073), (329.621, 378.035), (434.041, 383.055), (280.423, 250.02), (364.26, 244.498), (410.829, 244.25), (489.263, 258.053), (258.836, 258.555), (298.495, 263.073), (352.211, 262.571), (414.964, 264.077), (466.672, 268.093), (505.327, 269.097), (386.307, 324.388), (367.774, 330.845), (400.907, 332.853), (384.341, 370.003), (381.329, 392.594), (377.312, 462.876), (261.346, 375.023), (493.279, 386.569)]","{'Eye length ratio': 0.3405476216415644, 'Eye distance ratio': 0.5178571261252162, 'Nose ratio': 0.14294100704340315, 'Lip size ratio': 4.586943402956887, 'Lip length ratio': 0.4501787254444073, 'Eye-brow length ratio': 0.3405476216415644, 'Aggressive ratio': 0.8693111781704993}"
m-032-05.pts,m-032,"[(333.873, 262.481), (447.797, 266.127), (337.519, 376.405), (440.506, 381.873), (287.392, 252.456), (374.886, 244.253), (417.722, 238.785), (493.367, 252.456), (264.608, 276.152), (308.354, 267.949), (356.658, 266.127), (425.013, 268.861), (467.848, 270.684), (511.595, 279.797), (394.025, 320.81), (373.975, 329.013), (410.43, 329.924), (392.203, 363.646), (390.38, 391.899), (391.291, 461.165), (271.899, 379.139), (497.924, 385.519)]","{'Eye length ratio': 0.3557601279971191, 'Eye distance ratio': 0.5037592658844793, 'Nose ratio': 0.16127358569658756, 'Lip size ratio': 3.642729517323387, 'Lip length ratio': 0.45610439447553586, 'Eye-brow length ratio': 0.3557601279971191, 'Aggressive ratio': 0.8760542777522522}"
m-033-01.pts,m-033,"[(321.621, 260.384), (432.995, 268.688), (325.969, 395.781), (413.485, 402.47), (278.588, 227.996), (352.725, 249.178), (395.647, 251.965), (483.163, 242.489), (258.521, 254.752), (292.524, 255.867), (347.709, 271.475), (409.025, 273.705), (464.768, 267.573), (505.46, 267.573), (375.022, 352.859), (353.283, 361.22), (390.63, 361.778), (371.678, 403.585), (371.12, 420.865), (370.563, 471.033), (283.047, 387.977), (477.031, 403.027)]","{'Eye length ratio': 0.35599527225232286, 'Eye distance ratio': 0.5016740615300116, 'Nose ratio': 0.1919707838935338, 'Lip size ratio': 5.076708776000899, 'Lip length ratio': 0.4511108258798059, 'Eye-brow length ratio': 0.35599527225232286, 'Aggressive ratio': 1.0323562202638934}"
m-033-02.pts,m-033,"[(289.928, 265.224), (400.074, 261.392), (290.886, 374.891), (407.258, 374.412), (243.954, 242.236), (319.619, 248.462), (370.383, 244.631), (447.006, 231.701), (225.277, 265.224), (263.588, 263.787), (315.309, 272.407), (375.65, 270.491), (426.414, 258.998), (468.078, 256.125), (350.269, 351.425), (329.676, 357.172), (368.946, 356.214), (349.311, 388.3), (350.748, 413.682), (355.058, 466.361), (245.869, 374.412), (458.979, 360.045)]","{'Eye length ratio': 0.31981660866761186, 'Eye distance ratio': 0.5231525156302443, 'Nose ratio': 0.1839084087901996, 'Lip size ratio': 4.577532531548223, 'Lip length ratio': 0.5448333345473325, 'Eye-brow length ratio': 0.31981660866761186, 'Aggressive ratio': 0.9269241722556744}"
m-033-03.pts,m-033,"[(310.711, 272.163), (420.461, 288.078), (306.533, 406.602), (396.008, 415.308), (267.358, 239.261), (351.996, 271.665), (382.466, 274.083), (470.489, 267.312), (244.143, 255.705), (284.769, 262.959), (335.068, 282.789), (394.557, 291.978), (449.209, 290.044), (482.58, 296.331), (356.349, 368.394), (337.003, 373.714), (373.76, 379.518), (350.061, 415.308), (349.094, 432.235), (347.643, 473.829), (259.62, 393.544), (445.339, 418.693)]","{'Eye length ratio': 0.3746961097866086, 'Eye distance ratio': 0.48698992471781927, 'Nose ratio': 0.1985572255069315, 'Lip size ratio': 5.3022518898243725, 'Lip length ratio': 0.47967354672174933, 'Eye-brow length ratio': 0.3746961097866086, 'Aggressive ratio': 1.021553290805883}"
m-033-05.pts,m-033,"[(307.443, 262.481), (418.633, 271.595), (311.089, 396.456), (398.582, 401.013), (261.873, 236.962), (347.544, 253.367), (386.734, 255.19), (471.494, 257.924), (243.646, 257.013), (282.835, 258.835), (332.051, 273.418), (391.291, 277.975), (442.329, 272.506), (482.43, 277.975), (363.949, 356.354), (337.519, 363.646), (379.443, 365.468), (356.658, 399.19), (357.57, 419.241), (357.57, 464.81), (273.722, 396.456), (453.266, 402.835)]","{'Eye length ratio': 0.36389944667553026, 'Eye distance ratio': 0.5211716182783042, 'Nose ratio': 0.2335756845184001, 'Lip size ratio': 4.364924867984902, 'Lip length ratio': 0.48765956830697677, 'Eye-brow length ratio': 0.36389944667553026, 'Aggressive ratio': 1.0747450500876485}"
m-033-05_a.pts,m-033,"[(307.443, 262.481), (418.633, 271.595), (311.089, 396.456), (398.582, 401.013), (261.873, 236.962), (347.544, 253.367), (386.734, 255.19), (471.494, 257.924), (243.646, 257.013), (282.835, 258.835), (332.051, 273.418), (391.291, 277.975), (442.329, 272.506), (482.43, 277.975), (363.949, 356.354), (337.519, 363.646), (379.443, 365.468), (356.658, 399.19), (357.57, 419.241), (357.57, 464.81), (273.722, 396.456), (453.266, 402.835)]","{'Eye length ratio': 0.36389944667553026, 'Eye distance ratio': 0.5211716182783042, 'Nose ratio': 0.2335756845184001, 'Lip size ratio': 4.364924867984902, 'Lip length ratio': 0.48765956830697677, 'Eye-brow length ratio': 0.36389944667553026, 'Aggressive ratio': 1.0747450500876485}"
m-034-03.pts,m-034,"[(303.711, 270.331), (416.368, 259.217), (318.866, 403.195), (414.852, 396.628), (255.718, 253.155), (346.652, 249.619), (376.458, 246.082), (461.834, 234.968), (233.995, 278.919), (269.358, 278.414), (333.517, 276.899), (390.603, 268.31), (448.194, 259.217), (486.589, 257.196), (360.797, 343.078), (350.188, 352.172), (378.984, 350.656), (368.88, 391.576), (369.89, 418.351), (375.953, 506.254), (263.296, 403.701), (470.928, 396.628)]","{'Eye length ratio': 0.35894777039433745, 'Eye distance ratio': 0.4672493845377898, 'Nose ratio': 0.13879923014614456, 'Lip size ratio': 3.5907378159449586, 'Lip length ratio': 0.46310110327004317, 'Eye-brow length ratio': 0.35894777039433745, 'Aggressive ratio': 1.1227198641259608}"
m-034-05.pts,m-034,"[(314.734, 257.924), (427.747, 247.899), (328.405, 389.165), (422.278, 385.519), (261.873, 236.962), (360.304, 230.582), (385.823, 226.937), (475.139, 226.025), (244.557, 270.684), (289.215, 264.304), (339.342, 260.658), (402.228, 256.101), (451.443, 249.722), (490.633, 255.19), (374.886, 327.19), (361.215, 337.215), (391.291, 335.392), (379.443, 372.759), (378.532, 404.658), (378.532, 490.329), (270.987, 391.899), (472.405, 387.342)]","{'Eye length ratio': 0.40004959664795103, 'Eye distance ratio': 0.4851286199898825, 'Nose ratio': 0.14955708774415988, 'Lip size ratio': 2.9438380757056897, 'Lip length ratio': 0.46629270339148643, 'Eye-brow length ratio': 0.40004959664795103, 'Aggressive ratio': 1.1564557396331236}"
m-035-01.pts,m-035,"[(328.756, 264.786), (436.339, 263.114), (339.905, 375.156), (433.552, 375.713), (286.392, 251.408), (366.661, 243.046), (406.238, 239.702), (480.651, 243.638), (266.325, 269.245), (304.229, 267.573), (355.513, 265.343), (414.6, 265.901), (463.095, 265.901), (495.426, 264.229), (388.401, 319.414), (371.12, 326.103), (402.894, 326.66), (387.286, 362.893), (387.286, 381.845), (388.401, 466.016), (283.605, 376.271), (485.392, 373.484)]","{'Eye length ratio': 0.352176739251674, 'Eye distance ratio': 0.5107875588543708, 'Nose ratio': 0.15747224106430852, 'Lip size ratio': 4.941360092159336, 'Lip length ratio': 0.4640523201703144, 'Eye-brow length ratio': 0.352176739251674, 'Aggressive ratio': 1.007650307310229}"
m-035-02.pts,m-035,"[(334.815, 267.298), (442.416, 271.654), (334.944, 372.976), (439.823, 378.243), (292.995, 253.358), (374.893, 247.259), (412.358, 247.694), (485.544, 255.1), (266.421, 267.298), (311.478, 269.055), (361.283, 270.97), (424.019, 271.449), (469.514, 274.323), (501.227, 276.446), (392.754, 330.029), (374.458, 334.821), (408.873, 336.128), (390.576, 367.058), (388.398, 406.264), (385.349, 483.371), (278.619, 369.236), (486.851, 380.562)]","{'Eye length ratio': 0.3494907623150115, 'Eye distance ratio': 0.4894464521362875, 'Nose ratio': 0.1651474253514031, 'Lip size ratio': 2.6743229823481864, 'Lip length ratio': 0.5035545993227659, 'Eye-brow length ratio': 0.3494907623150115, 'Aggressive ratio': 1.0250324196260503}"
m-035-03.pts,m-035,"[(309.166, 294.379), (421.95, 290.523), (324.589, 416.32), (424.36, 411.982), (261.931, 287.631), (346.761, 277.991), (380.017, 276.545), (469.184, 275.581), (246.508, 301.126), (274.945, 304.018), (340.013, 298.716), (396.405, 296.788), (452.797, 292.933), (486.054, 291.969), (368.45, 364.266), (354.954, 372.46), (385.801, 372.942), (371.824, 405.235), (372.788, 429.816), (379.535, 499.221), (276.391, 415.838), (470.63, 410.536)]","{'Eye length ratio': 0.37198337728463576, 'Eye distance ratio': 0.5024328407170667, 'Nose ratio': 0.1587697563024983, 'Lip size ratio': 4.059580772900396, 'Lip length ratio': 0.5139445698952173, 'Eye-brow length ratio': 0.37198337728463576, 'Aggressive ratio': 1.0517297113978097}"
m-035-05.pts,m-035,"[(323.848, 267.949), (437.772, 270.684), (337.519, 383.696), (433.215, 387.342), (279.19, 260.658), (371.241, 241.519), (405.873, 245.165), (484.253, 261.57), (259.139, 280.709), (296.506, 274.329), (350.278, 271.595), (416.81, 272.506), (461.468, 273.418), (494.278, 281.62), (385.823, 330.835), (369.418, 335.392), (404.051, 336.304), (385.823, 370.025), (385.823, 394.633), (385.823, 477.57), (281.924, 386.43), (477.873, 388.253)]","{'Eye length ratio': 0.3998439601246362, 'Eye distance ratio': 0.5097762045465648, 'Nose ratio': 0.1767985886806415, 'Lip size ratio': 3.891638116770936, 'Lip length ratio': 0.4887051559594567, 'Eye-brow length ratio': 0.3998439601246362, 'Aggressive ratio': 1.0666573747533248}"
m-036-01.pts,m-036,"[(353.528, 261.379), (469.463, 254.658), (369.77, 385.156), (456.581, 380.115), (308.162, 239.536), (381.531, 227.775), (431.938, 225.535), (510.348, 224.975), (294.72, 267.54), (330.005, 264.18), (375.371, 262.499), (443.7, 259.139), (489.626, 256.899), (541.713, 250.178), (398.334, 332.509), (385.452, 342.59), (417.376, 341.47), (410.303, 374.675), (411.215, 395.237), (414.016, 459.085), (318.803, 386.836), (536.672, 369.474)]","{'Eye length ratio': 0.3166850517886715, 'Eye distance ratio': 0.5112047942032012, 'Nose ratio': 0.14615522154548402, 'Lip size ratio': 4.224872664222966, 'Lip length ratio': 0.39786493568725395, 'Eye-brow length ratio': 0.3166850517886715, 'Aggressive ratio': 0.9166759919141451}"
m-036-02.pts,m-036,"[(316.557, 250.559), (432.453, 247.755), (320.763, 365.053), (428.912, 367.058), (271.227, 225.324), (343.194, 201.958), (392.263, 206.631), (482.924, 223.922), (262.643, 252.827), (293.43, 254.229), (336.122, 251.179), (407.685, 249.624), (455.05, 249.001), (507.692, 246.821), (352.541, 315.984), (340.39, 328.602), (376.374, 326.733), (368.897, 359.445), (368.897, 397.298), (368.43, 456.181), (272.161, 365.521), (500.215, 368.324)]","{'Eye length ratio': 0.37652651506396645, 'Eye distance ratio': 0.5319512043538703, 'Nose ratio': 0.15798794866773228, 'Lip size ratio': 2.857569650725694, 'Lip length ratio': 0.4742710700784534, 'Eye-brow length ratio': 0.37652651506396645, 'Aggressive ratio': 0.9099448245166672}"
m-036-03.pts,m-036,"[(312.948, 278.099), (430.121, 275.563), (321.571, 403.895), (421.498, 403.895), (262.731, 275.056), (342.368, 265.926), (378.89, 264.911), (480.845, 266.94), (253.601, 283.679), (279.47, 286.215), (334.76, 281.143), (400.194, 283.172), (453.961, 279.621), (503.164, 278.099), (344.397, 358.751), (339.832, 370.417), (369.759, 364.838), (361.643, 400.852), (366.716, 424.185), (371.281, 480.489), (278.456, 404.402), (497.584, 401.866)]","{'Eye length ratio': 0.40851290815385466, 'Eye distance ratio': 0.5103641061690922, 'Nose ratio': 0.1389167050417878, 'Lip size ratio': 4.184878657358113, 'Lip length ratio': 0.4559906021925268, 'Eye-brow length ratio': 0.40851290815385466, 'Aggressive ratio': 0.9248029356133945}"
m-036-05.pts,m-036,"[(323.848, 267.949), (437.961, 260.392), (336.314, 392.157), (433.215, 387.342), (273.569, 261.647), (348.863, 244.078), (394.039, 236.549), (489.412, 245.333), (262.275, 285.49), (296.506, 274.329), (346.353, 272.941), (412.863, 267.922), (459.294, 265.412), (510.745, 269.176), (365.176, 345.725), (352.627, 350.745), (386.51, 348.235), (373.961, 383.373), (375.216, 397.176), (375.216, 466.196), (291.137, 395.922), (505.725, 388.392)]","{'Eye length ratio': 0.38463748798070607, 'Eye distance ratio': 0.5263061436227953, 'Nose ratio': 0.1582331844936189, 'Lip size ratio': 7.000072194983268, 'Lip length ratio': 0.45184668745749684, 'Eye-brow length ratio': 0.38463748798070607, 'Aggressive ratio': 0.910014979034328}"
m-037-01.pts,m-037,"[(337.233, 251.617), (445.51, 243.803), (348.85, 370.641), (443.277, 364.359), (291.467, 232.641), (366.256, 227.06), (417.603, 218.13), (489.602, 223.711), (270.816, 257.757), (313.792, 254.966), (361.232, 251.617), (422.068, 247.152), (474.532, 246.036), (516.392, 243.245), (392.488, 308.546), (376.86, 318.592), (406.999, 318.034), (395.836, 359.336), (398.627, 379.428), (402.534, 449.194), (288.676, 374.405), (511.927, 357.661)]","{'Eye length ratio': 0.3048601731949705, 'Eye distance ratio': 0.5083658184224826, 'Nose ratio': 0.1346454833431757, 'Lip size ratio': 4.665323471322474, 'Lip length ratio': 0.4227111258413648, 'Eye-brow length ratio': 0.3048601731949705, 'Aggressive ratio': 0.9015971026381683}"
m-037-02.pts,m-037,"[(341.451, 240.998), (448.855, 235.883), (352.073, 352.435), (448.342, 349.164), (296.699, 224.376), (368.728, 213.294), (419.021, 208.606), (490.624, 216.278), (274.11, 245.26), (318.893, 243.549), (365.158, 240.745), (425.91, 237.007), (474.512, 236.072), (516.196, 234.605), (396.432, 295.979), (378.105, 306.634), (411.349, 305.355), (398.563, 344.14), (400.267, 376.958), (407.087, 444.725), (286.044, 354.369), (513.639, 346.271)]","{'Eye length ratio': 0.3007445207050161, 'Eye distance ratio': 0.5046056967773215, 'Nose ratio': 0.14608210014709908, 'Lip size ratio': 2.931164983835666, 'Lip length ratio': 0.4229602557451161, 'Eye-brow length ratio': 0.3007445207050161, 'Aggressive ratio': 0.9144008896587471}"
m-037-03.pts,m-037,"[(339.686, 264.267), (449.777, 257.417), (351.918, 388.058), (450.266, 382.676), (297.102, 247.979), (366.457, 248.351), (420.909, 239.803), (493.324, 238.824), (271.185, 270.139), (312.286, 268.182), (364.151, 264.757), (423.844, 263.289), (474.242, 259.374), (515.342, 257.906), (393.997, 327.875), (379.808, 337.661), (411.612, 337.661), (397.912, 376.805), (398.89, 401.759), (402.315, 463.899), (287.821, 388.548), (509.96, 380.719)]","{'Eye length ratio': 0.2962474464129621, 'Eye distance ratio': 0.5139797419977984, 'Nose ratio': 0.14308278247682618, 'Lip size ratio': 3.944040794734296, 'Lip length ratio': 0.4431191187454249, 'Eye-brow length ratio': 0.2962474464129621, 'Aggressive ratio': 0.912222208247325}"
